frame,track_id,class,cx,cy,w,h,depth
2,-1,2,199,140,320,230,8.639
3,-1,0,209,141,326,229,8.421
7,-1,2,471,138,94,194,4.988
7,-1,2,299,146,200,224,7.899
8,-1,2,517,141,61,201,4.961
8,-1,2,441,194,68,113,9.284
9,-1,2,153,143,88,176,3.737
9,-1,2,527,143,81,218,4.792
9,-1,2,453,204,66,91,9.252
9,-1,0,449,304,80,66,5.819
10,-1,1,151,140,100,128,3.753
10,-1,2,456,145,176,225,4.902
11,-1,2,469,137,166,233,4.906
12,-1,1,483,143,20,59,24.307
12,-1,2,461,145,163,225,4.853
13,-1,2,499,143,140,227,4.857
14,-1,2,526,141,133,229,4.618
14,-1,1,458,144,51,53,25.465
15,-1,2,168,130,147,206,4.902
15,-1,2,551,143,126,227,4.658
15,-1,1,1143,263,81,107,6.182
15,-1,1,567,323,30,47,5.600
16,-1,2,239,140,83,183,5.851
16,-1,2,569,145,128,225,4.642
17,-1,2,242,140,89,194,5.756
17,-1,2,550,144,149,226,4.563
17,-1,2,1086,207,123,163,6.812
18,-1,1,446,141,77,54,30.212
18,-1,0,192,143,171,202,5.605
18,-1,2,529,143,176,227,4.419
19,-1,2,219,127,60,141,5.172
19,-1,2,585,132,128,238,4.334
19,-1,2,192,144,183,206,5.570
19,-1,2,1023,147,93,223,8.317
19,-1,1,1122,318,97,52,3.812
20,-1,2,189,131,182,220,5.695
20,-1,2,565,132,169,238,4.380
20,-1,1,600,315,35,55,5.695
21,-1,2,323,141,65,168,6.189
21,-1,1,433,141,90,74,30.911
21,-1,2,579,141,182,229,4.237
22,-1,1,426,141,46,48,22.375
22,-1,1,601,320,60,50,5.659
23,-1,1,419,141,51,52,6.189
23,-1,2,479,144,48,73,28.294
23,-1,1,356,262,59,65,7.574
24,-1,0,151,127,269,243,7.149
25,-1,0,162,130,254,240,7.168
25,-1,2,643,139,167,231,4.033
25,-1,2,851,149,88,221,4.574
26,-1,0,160,138,236,232,7.149
26,-1,2,648,138,287,232,3.932
26,-1,2,502,144,27,64,29.709
27,-1,0,167,130,232,240,7.092
27,-1,2,394,141,77,195,8.343
27,-1,2,656,141,271,229,3.918
27,-1,1,473,145,58,66,28.597
28,-1,2,677,143,206,227,3.742
29,-1,2,301,127,114,236,7.661
29,-1,2,497,142,39,70,5.851
29,-1,2,712,144,185,226,3.635
29,-1,2,424,148,59,154,9.300
30,-1,2,324,130,141,226,7.650
30,-1,1,510,141,54,75,5.762
31,-1,2,699,137,220,233,5.103
31,-1,1,655,308,94,62,5.825
32,-1,2,335,130,124,240,7.607
32,-1,2,620,159,149,211,8.584
33,-1,2,789,138,175,232,3.491
33,-1,1,354,142,31,41,22.853
33,-1,2,593,155,145,215,8.868
34,-1,2,386,127,75,172,9.549
34,-1,2,471,142,106,141,5.083
34,-1,2,377,267,32,81,7.046
34,-1,1,408,306,59,64,5.611
34,-1,0,489,315,249,55,5.457
35,-1,2,397,129,339,241,5.316
36,-1,2,411,135,186,204,4.839
36,-1,2,624,161,59,145,5.407
36,-1,1,611,309,88,51,5.800
36,-1,1,465,322,137,48,5.479
37,-1,2,423,133,242,200,4.893
37,-1,0,465,272,138,98,4.513
38,-1,2,465,131,184,239,4.970
38,-1,2,424,206,85,153,7.864
39,-1,2,483,129,170,241,4.775
39,-1,1,434,149,33,41,30.212
39,-1,2,451,203,71,133,9.188
39,-1,1,540,275,44,51,4.445
39,-1,1,459,330,95,40,5.446
40,-1,2,450,129,202,241,4.517
41,-1,2,388,131,260,239,4.578
41,-1,1,429,143,32,40,30.212
42,-1,2,576,140,96,144,4.658
42,-1,2,354,306,200,64,5.653
43,-1,2,491,129,114,154,5.800
43,-1,2,608,142,93,138,4.590
43,-1,0,493,317,55,53,5.889
43,-1,1,615,318,56,52,4.524
44,-1,2,464,126,141,165,5.864
44,-1,2,620,146,103,159,4.486
44,-1,0,395,282,208,88,5.975
44,-1,0,615,316,47,54,4.540
45,-1,2,447,122,164,248,5.870
45,-1,1,540,142,26,50,16.711
45,-1,2,635,146,102,136,4.412
45,-1,2,673,316,32,54,4.578
45,-1,0,623,321,41,49,4.509
46,-1,2,652,143,97,227,4.405
46,-1,2,1167,245,57,125,6.490
47,-1,0,382,127,265,192,16.659
47,-1,2,671,131,84,239,4.313
47,-1,2,1203,265,21,105,6.175
47,-1,2,567,305,37,65,5.948
47,-1,1,333,311,88,43,5.948
47,-1,1,630,324,37,46,4.479
48,-1,2,499,125,168,197,16.711
48,-1,0,164,144,324,226,7.607
49,-1,2,528,122,158,167,16.659
49,-1,2,639,141,159,229,4.123
49,-1,0,175,144,270,226,7.761
50,-1,0,423,137,53,52,28.906
50,-1,1,480,141,108,96,15.963
50,-1,0,180,144,225,221,8.115
51,-1,1,519,140,90,97,15.915
51,-1,2,707,141,114,229,3.923
51,-1,0,245,144,151,209,7.830
51,-1,1,419,145,50,48,29.875
52,-1,2,765,137,69,233,3.844
52,-1,1,473,143,137,96,15.868
52,-1,0,415,147,34,46,31.272
53,-1,2,786,135,85,235,3.742
53,-1,2,534,142,77,95,15.868
53,-1,0,190,165,196,191,7.083
54,-1,2,545,141,76,99,15.279
54,-1,2,795,140,120,230,3.618
55,-1,1,464,141,159,103,15.192
55,-1,2,818,144,132,226,3.525
55,-1,0,193,146,129,197,7.178
56,-1,2,731,111,244,259,3.376
56,-1,1,514,134,110,112,15.192
56,-1,0,193,148,122,193,7.256
57,-1,1,451,135,175,114,15.149
57,-1,2,876,136,114,234,3.389
57,-1,2,194,168,113,170,7.396
58,-1,2,774,117,101,253,3.216
58,-1,1,445,133,188,117,15.064
58,-1,2,896,133,105,237,3.251
58,-1,1,392,143,40,42,30.557
59,-1,1,480,132,154,93,14.611
59,-1,2,918,133,113,237,3.124
59,-1,1,387,143,29,42,29.222
59,-1,2,202,253,28,48,3.477
60,-1,2,820,109,238,261,3.016
60,-1,1,488,133,149,122,14.531
60,-1,1,382,143,30,42,30.212
60,-1,2,193,170,59,157,3.976
61,-1,1,474,133,165,124,14.531
61,-1,2,981,138,112,232,2.933
61,-1,0,378,143,53,41,27.998
62,-1,2,1018,129,107,241,2.922
62,-1,1,482,136,158,123,14.531
62,-1,1,373,143,30,44,27.998
63,-1,2,1050,122,111,248,2.778
63,-1,1,369,143,29,42,27.998
63,-1,1,517,142,122,94,14.222
64,-1,2,1082,125,142,245,2.676
64,-1,2,531,141,108,108,13.926
65,-1,2,1117,129,107,241,2.566
65,-1,2,523,131,66,66,13.890
65,-1,1,353,143,36,41,25.586
65,-1,1,411,143,47,51,26.473
65,-1,1,473,143,168,121,13.926
66,-1,1,408,138,50,57,25.834
66,-1,2,1161,138,63,232,2.419
66,-1,1,355,144,31,40,24.989
66,-1,1,548,145,43,44,13.926
67,-1,2,515,133,79,62,13.818
67,-1,1,353,144,28,40,26.214
67,-1,2,531,145,119,120,13.926
68,-1,1,562,143,35,43,13.504
68,-1,2,601,143,52,118,14.414
68,-1,0,355,144,20,42,27.145
69,-1,2,565,143,34,45,13.436
69,-1,1,515,142,142,129,13.538
70,-1,2,534,143,129,128,13.470
70,-1,1,560,144,41,47,13.369
70,-1,2,1181,227,43,143,6.474
71,-1,1,562,145,42,49,13.302
71,-1,0,460,145,209,133,13.336
72,-1,1,487,134,189,146,13.204
72,-1,1,398,143,42,47,25.586
73,-1,1,488,135,195,118,12.855
73,-1,1,576,143,33,49,12.855
74,-1,2,576,134,36,61,12.824
74,-1,0,441,143,249,143,12.855
75,-1,0,449,132,245,155,12.855
75,-1,2,378,143,26,50,25.586
76,-1,0,486,130,215,161,12.793
77,-1,0,448,144,255,150,12.436
78,-1,0,442,131,267,165,12.350
78,-1,2,579,143,46,49,12.379
79,-1,0,448,142,269,160,12.209
79,-1,2,374,146,26,42,26.872
80,-1,0,452,131,274,172,11.963
81,-1,0,449,129,287,178,12.017
81,-1,2,581,145,50,62,11.910
82,-1,0,447,133,296,179,12.017
82,-1,2,588,144,46,52,11.753
83,-1,0,447,132,238,119,11.525
83,-1,2,694,145,56,128,12.379
84,-1,0,441,132,246,122,11.525
84,-1,2,565,145,188,174,10.891
85,-1,0,442,138,249,116,11.211
85,-1,2,577,149,187,172,10.465
86,-1,0,456,130,241,125,11.141
86,-1,2,578,150,192,175,10.071
87,-1,1,452,127,250,129,11.072
88,-1,2,439,130,160,129,16.505
88,-1,2,594,143,55,60,10.958
88,-1,2,589,146,194,189,10.631
88,-1,2,671,153,36,50,11.378
88,-1,1,607,204,86,46,11.003
89,-1,0,445,131,266,129,10.760
89,-1,2,600,146,49,57,10.803
89,-1,0,592,146,202,195,10.128
90,-1,0,453,131,260,132,10.631
90,-1,2,604,149,47,55,10.717
90,-1,2,603,150,205,193,9.188
91,-1,0,436,129,278,136,10.424
91,-1,1,219,151,32,44,3.795
91,-1,2,609,152,210,201,9.064
92,-1,2,501,127,216,137,10.404
92,-1,2,612,151,221,206,9.252
93,-1,1,433,127,288,142,10.186
93,-1,2,617,147,228,216,9.333
94,-1,1,439,130,285,142,10.128
94,-1,2,627,146,226,224,8.556
95,-1,1,435,132,293,141,9.885
95,-1,2,641,153,243,217,7.970
96,-1,0,429,130,306,146,9.776
96,-1,2,654,152,235,218,7.934
97,-1,1,461,128,281,148,9.583
97,-1,2,681,151,209,219,7.958
98,-1,0,429,128,320,154,9.549
98,-1,2,716,145,189,225,9.094
99,-1,0,424,130,329,153,9.465
100,-1,1,455,134,300,152,9.284
100,-1,2,769,151,186,219,8.202
101,-1,0,437,132,320,156,9.048
101,-1,2,836,152,134,218,5.222
102,-1,1,453,129,312,158,9.033
103,-1,0,431,128,340,165,8.795
103,-1,2,911,144,92,226,9.033
104,-1,0,441,132,330,163,8.795
104,-1,2,913,145,120,225,8.529
105,-1,0,433,131,344,169,8.584
105,-1,2,915,150,174,220,8.356
106,-1,0,432,142,353,159,8.369
106,-1,2,926,149,143,221,8.202
107,-1,1,428,131,366,174,8.227
107,-1,2,972,144,113,226,8.542
108,-1,0,425,129,375,181,8.152
109,-1,0,435,129,368,181,7.958
110,-1,0,429,132,378,181,7.922
110,-1,2,1049,149,116,221,4.067
111,-1,2,1059,146,142,224,3.918
111,-1,2,649,152,162,142,7.705
111,-1,0,433,277,182,43,7.356
112,-1,2,629,150,190,155,7.564
113,-1,0,432,129,395,198,7.417
114,-1,2,430,128,399,203,7.266
115,-1,2,637,155,149,162,7.121
116,-1,2,644,154,208,169,6.972
117,-1,2,673,153,190,162,6.900
118,-1,2,675,156,195,172,6.795
119,-1,0,418,128,457,230,6.578
120,-1,2,419,131,462,230,6.506
121,-1,2,627,133,268,187,6.328
121,-1,0,423,315,247,55,5.838
122,-1,2,435,133,479,237,6.189
123,-1,2,441,131,468,239,6.029
