frame,track_id,class,cx,cy,w,h,depth
9,-1,1,238,143,31,50,9.776
11,-1,2,541,145,156,225,5.468
12,-1,1,226,126,37,61,14.937
13,-1,2,567,142,132,228,5.374
13,-1,2,506,145,20,60,6.474
14,-1,2,597,141,124,229,5.576
17,-1,2,631,145,134,225,5.832
18,-1,2,275,127,48,103,4.015
19,-1,2,621,140,159,230,5.635
20,-1,2,641,139,161,231,5.570
20,-1,2,511,143,29,55,2.562
21,-1,2,658,132,175,238,5.750
24,-1,2,407,141,85,181,29.545
24,-1,2,524,145,24,55,3.842
30,-1,2,386,130,188,227,28.597
31,-1,1,718,294,97,76,27.998
33,-1,1,654,278,145,92,26.473
34,-1,1,400,290,27,41,28.444
34,-1,1,553,318,230,52,27.283
35,-1,2,468,129,330,241,3.798
36,-1,2,466,134,198,236,24.418
36,-1,2,913,137,210,233,31.456
37,-1,1,603,279,73,84,12.672
43,-1,1,466,316,70,54,25.344
44,-1,2,692,145,105,154,30.911
45,-1,2,458,122,231,248,26.086
45,-1,0,701,321,37,49,7.149
48,-1,0,231,279,230,91,24.307
50,-1,1,489,138,150,97,10.781
52,-1,1,250,306,134,52,25.709
60,-1,2,257,170,48,155,19.305
61,-1,0,526,144,136,113,28.145
61,-1,2,237,155,64,168,19.305
67,-1,2,488,132,189,137,10.424
74,-1,1,598,142,40,51,7.092
74,-1,0,515,143,206,140,5.851
75,-1,0,483,131,250,157,5.851
75,-1,2,601,144,41,54,6.651
77,-1,1,499,129,241,165,6.211
81,-1,2,599,147,178,160,22.189
82,-1,2,605,147,182,163,21.827
84,-1,2,746,145,52,151,28.444
93,-1,0,469,128,282,143,6.981
94,-1,1,473,130,281,141,6.963
95,-1,0,470,134,289,140,7.596
96,-1,0,479,138,287,136,7.246
97,-1,0,471,128,302,150,7.073
98,-1,0,467,128,314,153,6.545
99,-1,0,465,131,320,152,6.602
102,-1,2,477,129,318,161,7.083
103,-1,0,479,129,324,165,7.197
104,-1,2,494,131,309,161,6.635
105,-1,2,476,131,335,168,6.651
106,-1,0,486,133,334,166,6.077
107,-1,0,473,131,208,174,24.088
108,-1,0,472,129,221,180,24.197
109,-1,0,480,129,361,182,5.127
111,-1,2,479,133,230,184,22.659
113,-1,2,479,129,388,198,5.719
118,-1,2,739,157,174,159,3.179
118,-1,0,481,289,253,63,29.545
119,-1,0,482,128,437,228,4.687
120,-1,2,482,130,443,230,4.853
121,-1,2,678,134,260,201,5.248
121,-1,0,489,309,243,61,27.852
123,-1,0,497,321,285,49,27.283
128,-1,2,671,130,226,240,5.762
129,-1,2,704,126,204,244,4.687
130,-1,2,708,125,213,245,4.848
131,-1,2,748,128,187,242,4.409
131,-1,2,898,160,191,197,2.180
132,-1,2,724,129,369,241,4.330
136,-1,2,769,118,110,252,28.750
138,-1,2,1017,160,173,210,1.784
139,-1,2,1034,158,179,212,2.321
140,-1,2,826,107,105,263,31.642
141,-1,2,1109,161,115,209,1.813
